"tempo";"taxa.desocupacao"
"201201";7,9
"201202";7,5
"201203";7,1
"201204";6,9
"201301";8
"201302";7,4
"201303";6,9
"201304";6,2
"201401";7,2
"201402";6,8
"201403";6,8
"201404";6,5
"201501";7,9
"201502";8,3
"201503";8,9
"201504";8,9
"201601";10,9
"201602";11,3
"201603";11,8
"201604";12
"201701";13,7
"201702";13
"201703";12,4
"201704";11,8
"201801";13,1
"201802";12,4
"201803";11,9
"201804";11,6
"201901";12,7
"201902";12
"201903";11,8
"201904";11
"202001";12,2
"202002";13,3
"202003";14,6
"202004";13,9
"202101";14,7
"202102";14,1
