"tempo";"va"
"199601";97,33
"199602";100,14
"199603";107,47
"199604";102,97
"199701";99,84
"199702";103,98
"199703";108,45
"199704";107,52
"199801";100,74
"199802";106
"199803";109,3
"199804";106,37
"199901";102,36
"199902";106,1
"199903";109,2
"199904";108,81
"200001";106,03
"200002";109,77
"200003";113,8
"200004";113,63
"200101";109,07
"200102";112,51
"200103";114,73
"200104";113,63
"200201";110,86
"200202";115,59
"200203";119,9
"200204";119,68
"200301";113,58
"200302";116,81
"200303";121,03
"200304";120,33
"200401";118,2
"200402";124,07
"200403";128,56
"200404";127,61
"200501";123,2
"200502";129,42
"200503";130,93
"200504";129,91
"200601";127,84
"200602";131,77
"200603";136,45
"200604";136,33
"200701";134,37
"200702";140,2
"200703";144,3
"200704";144,4
"200801";142,16
"200802";148,52
"200803";153,37
"200804";145,55
"200901";138,92
"200902";145,51
"200903";151,7
"200904";152,9
"201001";150,68
"201002";157,19
"201003";161,38
"201004";160,88
"201101";158,08
"201102";163,97
"201103";166,86
"201104";164,8
"201201";160,41
"201202";165,2
"201203";170,73
"201204";167,91
"201301";164,69
"201302";171,54
"201303";174,95
"201304";172,18
"201401";170,25
"201402";170,85
"201403";173,86
"201404";171,54
"201501";167,75
"201502";166,62
"201503";167,22
"201504";163,29
"201601";160,19
"201602";162,02
"201603";163,57
"201604";159,81
"201701";160,7
"201702";163,38
"201703";166,02
"201704";163,59
"201801";163,33
"201802";165,9
"201803";169,46
"201804";166,47
"201901";165,34
"201902";168,13
"201903";171,47
"201904";169,02
"202001";164,88
"202002";150,77
"202003";165,14
"202004";166,72
"202101";166,22
"202102";168,49
